"X","Name","Artist","RiaaStatus","Label"
775,"Strip","Chris Brown","1x Platinum","Rca"
776,"Deuces","Chris Brown","2x Multi-Platinum","Rca"
777,"Think of you (Duet with Cassadee Pope)","Chris Young","1x Platinum","Rca Records Label Nashville"
778,"Perfect Storm","Brad Paisley","Gold","Arista Nashville"
779,"Save it for a Rainy Day","Kenny Chesney","Gold","Blue Chair Records /  Columbia Nashville"
780,"Vice","Miranda Lambert","1x Platinum","Vanner Records / Rca Nashville"
781,"Wild Child ","Kenny Chesney","Gold","Blue Chair Records / Columbia Nashville"
782,"Fresh Eyes","Andy Grammer","1x Platinum","s-Curve Records"
783,"Versace on the Floor","Bruno Mars","1x Platinum","Atlantic Records"
784,"Chunky","Bruno Mars","Gold","Atlantic Records"
785,"Bailando ","Enrique Iglesias","4x Multi-Platinum","Republic Records"
786,"Hasta El Amanecer","Nicky Jam","22x Diamond","Sony Latin"
787,"El Amante","Nicky Jam","13x Diamond","Sony Latin"
788,"El Perdon","Nicky Jam","27x Diamond","Sony Latin"
789,"Do you Remember ","Jay Sean","2x Multi-Platinum","Republic Records"
790,"Cheap Thrills ","Sia","4x Multi-Platinum","Rca"
791,"Crash My Party","Luke Bryan","4x Multi-Platinum","Capitol Records Nashville"
792,"That's My Kind of Night","Luke Bryan","4x Multi-Platinum","Capitol Records Nashville"
793,"Highway 20 Ride","Zac Brown Band","1x Platinum","Atlantic Records"
794,"The Ballad of Mona Lisa","Panic! at the Disco","1x Platinum","Fueled by Ramen"
795,"Home Alone Tonight","Luke Bryan","1x Platinum","Capitol Records Nashville"
796,"Toes","Zac Brown Band","3x Multi-Platinum","Home Grown / Atlantic"
797,"Keep Me in Mind","Zac Brown Band","1x Platinum","Atlantic Records"
798,"As She's Walking Away ","Zac Brown Band","1x Platinum","Atlantic Records"
799,"As She's Walking Away ","Zac Brown Band","1x Platinum","Atlantic Records"
800,"Kiss Tomorrow Goodbye","Luke Bryan","1x Platinum","Capitol Records Nashville"
801,"Whatever it is","Zac Brown Band","2x Multi-Platinum","Homegrown / Atlantic Records"
802,"Knee Deep ","Zac Brown Band","3x Multi-Platinum","Atlantic Records"
803,"all My Friends Say","Luke Bryan","1x Platinum","Capitol Records Nashville"
804,"Girls/Girls/Boys","Panic! at the Disco","Gold","Fueled by Ramen"
805,"Free","Zac Brown Band","1x Platinum","Atlantic Records"
806,"Goodbye in Her Eyes","Zac Brown Band","1x Platinum","Atlantic Records"
807,"Sober Saturday Night ","Chris Young","Gold","Rca Nashville"
808,"My Body","Young the Giant","1x Platinum","Roadrunner Records, Inc."
809,"Cough Syrup","Young the Giant","1x Platinum","Roadrunner Records, Inc."
810,"Back on Road ","Gucci Mane","Gold","Atlantic Records"
811,"Better Man","Little Big Town","1x Platinum","Capitol Records Nashville"
812,"Lane Boy","Twenty One Pilots","1x Platinum","Fueled by Ramen"
813,"Humble and Kind","Tim Mcgraw","2x Multi-Platinum","Big Machine Records, Inc."
814,"So High ","Wiz Khalifa","Gold","Atlantic Records"
815,"Get Busy","Sean Paul","1x Platinum","Atlantic Records"
816,"Temperature","Sean Paul","3x Multi-Platinum","Atlantic Records"
817,"Promises","Wiz Khalifa","Gold","Atlantic Records"
818,"Check","Young Thug","Gold","300 Entertainment / Atlantic Records"
819,"We be Burnin'","Sean Paul","1x Platinum","Atlantic Records"
820,"Baby Blue ","Action Bronson","Gold","Atlantic Records"
821,"My Way","Calvin Harris","1x Platinum","Columbia"
822,"Drink in My Hand","Eric Church","2x Multi-Platinum","Emi Records Nashville"
823,"Kill a Word","Eric Church","Gold","Emi Records Nashville"
824,"Mr. Misunderstood","Eric Church","Gold","Emi Records Nashville"
825,"Small Bump","Ed Sheeran","Gold","Atlantic Records"
826,"I'm a Mess","Ed Sheeran","Gold","Atlantic Records"
827,"One","Ed Sheeran","Gold","Atlantic Records"
828,"Bloodstream","Ed Sheeran","Gold","Atlantic Records"
829,"Kiss Me","Ed Sheeran","1x Platinum","Atlantic Records"
830,"Boyfriend","Justin Bieber","6x Multi-Platinum","Def Jam"
831,"Iridescent","Linkin Park","Gold","Warner Bros. Records"
832,"Papercut","Linkin Park","Gold","Warner Bros. Records"
833,"One less Lonely Girl","Justin Bieber","3x Multi-Platinum","Def Jam"
834,"Faint","Linkin Park","1x Platinum","Warner Bros. Records"
835,"Heavy","Linkin Park","Gold","Warner Bros. Records"
836,"Seen it all","Jeezy","Gold","Def Jam"
837,"Breaking the Habit","Linkin Park","Gold","Warner Bros. Records"
838,"Given Up","Linkin Park","Gold","Warner Bros. Records"
839,"Crawling","Linkin Park","Gold","Warner Bros. Records"
840,"Controlla","Drake","3x Multi-Platinum","Young Money / Cash Money / Republic Records"
841,"Gyalchester","Drake","1x Platinum","Young Money / Cash Money / Republic Records"
842,"Bait a Hook","Justin Moore","1x Platinum","the Valory Music Co"
843,"Price Tag","Jessie j","4x Multi-Platinum","Republic Records"
844,"Legend","Drake","2x Multi-Platinum","Young Money / Cash Money / Republic Records"
845,"Handsome and Wealthy","Migos","Gold","Quality Control Music / 300 Entertainment"
846,"Errrbody","Yo Gotti","Gold","Epic"
847,"The Fighter","Keith Urban","1x Platinum","Capitol Records Nashville"
848,"Waiting for the End","Linkin Park","1x Platinum","Warner Bros."
849,"Pretty Good at Drinkin' Beer","Billy Currington","1x Platinum","Mercury Records Nashville"
850,"What I've Done","Linkin Park","5x Multi-Platinum","Warner Bros."
851,"i Got a Feelin'","Billy Currington","Gold","Mercury Records Nashville"
852,"Bleed it Out","Linkin Park","2x Multi-Platinum","Warner Bros."
853,"Burn it Down","Linkin Park","2x Multi-Platinum","Warner Bros. Records"
854,"In the End","Linkin Park","4x Multi-Platinum","Warner Bros."
855,"it Don't Hurt Like it Used to","Billy Currington","Gold","Mercury Records Nashville"
856,"Shadow of the Day","Linkin Park","2x Multi-Platinum","Warner Bros."
857,"Leave Out all the Rest","Linkin Park","1x Platinum","Warner Bros."
858,"Don't it","Billy Currington","Gold","Mercury Records Nashville"
859,"Don't","Billy Currington","Gold","Mercury Records Nashville"
860,"Don't","Ed Sheeran","3x Multi-Platinum","Atlantic Records"
861,"Strip it Down","Luke Bryan","2x Multi-Platinum","Capitol Records Nashville"
862,"Fast","Luke Bryan","Gold","Capitol Records Nashville"
863,"Must be Doin' Somethin' Right","Billy Currington","2x Multi-Platinum","Mercury Records Nashville"
864,"Love Done Gone","Billy Currington","Gold","Mercury Records Nashville"
865,"New Divide","Linkin Park","3x Multi-Platinum","Warner Bros."
866,"Lego House","Ed Sheeran","2x Multi-Platinum","Atlantic Records"
867,"That's How Country Boys Roll","Billy Currington","Gold","Mercury Records Nashville"
868,"One Step Closer","Linkin Park","1x Platinum","Warner Bros Records"
869,"Let Me Down Easy","Billy Currington","1x Platinum","Mercury Records Nashville"
870,"The One that Got Away","Katy Perry","4x Multi-Platinum","Capitol Records"
871,"People are Crazy","Billy Currington","2x Multi-Platinum","Mercury Records Nashville"
872,"Pull Up ","Wiz Khalifa","Gold","Atlantic Records"
873,"Get Right Witcha","Migos","Gold","Quality Control Music / 300 Entertainment"
874,"Vacaciones","Wisin","3x Multi-Platinum","Sony Latin"
875,"Escapate Conmigo","Wisin","4x Multi-Platinum","Sony Latin"
876,"Dreams and Nightmares","Meek Mill","1x Platinum","Atlantic Records"
877,"Gonna","Blake Shelton","Gold","Warner Bros Records"
878,"Gorilla","Bruno Mars","1x Platinum","Atlantic Records"
879,"Needed Me","Rihanna","5x Multi-Platinum","Westbury Road Entertainment, Llc  /  Roc Nation, Llc"
880,"Aston Martin Music","Rick Ross","2x Multi-Platinum","Mercury"
881,"Way Out Here","Josh Thompson","Gold","Columbia Nashville"
882,"Moves","Big Sean","1x Platinum","Def Jam"
883,"Beautiful","Mariah Carey","2x Multi-Platinum","Island/Def Jam"
884,"Young Girls","Bruno Mars","1x Platinum","Atlantic Records"
885,"all Eyes on you","Meek Mill","2x Multi-Platinum","Maybach Music Group / Atlantic Records"
886,"Young & Gettin' it","Meek Mill","Gold","Atlantic Records"
887,"t-Shirt","Migos","2x Multi-Platinum","Quality Control Music / 300 Entertainment"
888,"Guns for Hands","Twenty One Pilots","Gold","Fueled by Ramen"
889,"Ode to Sleep","Twenty One Pilots","Gold","Atlantic Records"
890,"Good Morning Beautiful","Steve Holy","Gold","Curb Records"
891,"Comatose","Skillet","Gold","Atlantic Records"
892,"Raise your Glass","P!nk","5x Multi-Platinum","Rca"
893,"Holding on to you","Twenty One Pilots","1x Platinum","Fueled by Ramen"
894,"Human","Christina Perri","2x Multi-Platinum","Atlantic Records"
895,"House of Gold","Twenty One Pilots","1x Platinum","Fueled by Ramen"
896,"Emperor's New Clothes","Panic! at the Disco","1x Platinum","Fueled by Ramen"
897,"She is Love","Parachute","1x Platinum","Island"
898,"Kiss Me Slowly","Parachute","Gold","Island"
899,"Life is Worth Living","Justin Bieber","Gold","Def Jam"
900,"We Own it (Fast & Furious)","2 Chainz","2x Multi-Platinum","Def Jam"
901,"Work","Rihanna","6x Multi-Platinum","Westbury Road Entertainment, Llc  /  Roc Nation, Llc"
902,"No Favors","Big Sean","Gold","Def Jam"
903,"Love Don't Change","Jeremih","Gold","Def Jam"
904,"Victorious","Panic! at the Disco","1x Platinum","Fueled by Ramen"
905,"Bake Sale","Wiz Khalifa","Gold","Atlantic Records"
906,"Message Man","Twenty One Pilots","Gold","Fueled by Ramen"
907,"Count on Me","Bruno Mars","2x Multi-Platinum","Atlantic Records"
908,"Slippery","Migos","Gold","Quality Control Music / 300 Entertainment"
909,"Roar","Katy Perry","10x Diamond","Capitol Records"
910,"Bad and Boujee ","Migos","4x Multi-Platinum","Quality Control Music / 300 Entertainment"
911,"i will not Bow","Breaking Benjamin","2x Multi-Platinum","Hollywood Records"
912,"Take Me Home","Cash Cash","1x Platinum","Big Beat /  Atlantic Records"
913,"Caribou Lou","Tech N9ne","1x Platinum","Strange Music, Inc"
914,"Chandelier","Sia","3x Multi-Platinum","Rca Records"
915,"under Control","Calvin Harris","Gold","Columbia"
916,"Play that Song","Train","1x Platinum","Columbia"
917,"Shake it Off","Taylor Swift","9x Multi-Platinum","Big Machine Records, Inc."
918,"State of Grace","Taylor Swift","Gold","Big Machine Label Group"
919,"Holy Spirit","Francesca Battistelli","Gold","Fervent / Word / Curb"
920,"Messin' Around ","Pitbull","Gold","Rca"
921,"all of the Stars","Ed Sheeran","Gold","Atlantic Records"
922,"For Free ","Dj Khaled","2x Multi-Platinum","We the Best / Epic"
923,"Throw it in the Bag","Fabolous","1x Platinum","Mercury"
924,"What Do you Mean","Justin Bieber","6x Multi-Platinum","Def Jam Records"
925,"Birthday Sex","Jeremih","3x Multi-Platinum","Def Jam"
926,"What's your Fantasy ","Ludacris","1x Platinum","Def Jam"
927,"Clique","Kanye West","3x Multi-Platinum","Def Jam"
928,"x Gon' Give it to Ya","Dmx","1x Platinum","Def Jam"
929,"Oui","Jeremih","2x Multi-Platinum","Def Jam"
930,"One Man can Change the World","Big Sean","1x Platinum","Def Jam"
931,"Planez","Jeremih","2x Multi-Platinum","Def Jam"
932,"Sorry","Justin Bieber","8x Multi-Platinum","Def Jam"
933,"i Know","Big Sean","1x Platinum","Def Jam"
934,"Confident","Justin Bieber","1x Platinum","Island Records"
935,"Party Feat. Usher & Gucci Mane","Chris Brown","1x Platinum","Rca"
936,"Down in the Dm","Yo Gotti","2x Multi-Platinum","Epic"
937,"Duele El Corazon","Enrique Iglesias","12x Diamond","Sony Latin"
938,"Subeme La Radio","Enrique Iglesias","4x Multi-Platinum","Sony Latin"
939,"Unconditionally","Katy Perry","2x Multi-Platinum","Capitol Records"
940,"Hot n Cold","Katy Perry","7x Multi-Platinum","Capitol Records"
941,"Angels Fall","Breaking Benjamin","Gold","Hollywood Records"
942,"Don't Stop Me Now","Queen","1x Platinum","Hollywood Records"
943,"Chantaje ","Shakira","16x Diamond","Sony Latin"
944,"A.d.h.d.","Kendrick Lamar","Gold","Top Dawg Entertainment / Empire"
945,"Chained to the Rhythm","Katy Perry","1x Platinum","Capitol Records"
946,"Different for Girls","Dierks Bentley","1x Platinum","Capitol Records Nashville"
947,"Black","Dierks Bentley","Gold","Capitol Records Nashville"
948,"Fine by Me","Andy Grammer","1x Platinum","s-Curve Records"
949,"Hymn for the Weekend","Coldplay","2x Multi-Platinum","Atlantic Records"
950,"Llorar Lloviendo","Toby Love","Gold","Sony Music Latin"
951,"Tengo Un Amor","Toby Love","2x Multi-Platinum","Sony Music Latin"
952,"Kno One","Kevin Gates","Gold","Atlantic Records"
953,"Let Her Go","Passenger","6x Multi-Platinum","Nettwerk"
954,"The Body ","Wale","Gold","Atlantic Records"
955,"Te Quiero Pa Mi","Don Omar","Gold","Universal Music Latino"
956,"Ya Me Entere","Reik","3x Multi-Platinum","Sony Latin"
957,"Que Gano Olvidandote","Reik","Gold","Sony Latin"
958,"Lockjaw Feat. Kodak Black","French Montana","1x Platinum","Epic"
959,"That Way ","Wale","Gold","Atlantic Records"
960,"Ain't your Mama","Jennifer Lopez","Gold","Epic"
961,"Million Reasons","Lady Gaga","1x Platinum","Steamline / Interscope"
962,"Greater","Mercyme","Gold","Fair Trade Services"
963,"Bother","Stone Sour","Gold","Roadrunner"
964,"Through Glass","Stone Sour","1x Platinum","Roadrunner"
965,"Light it Up ","Major Lazer","1x Platinum","Mad Decent Protocol"
966,"Wasted Time","Keith Urban","Gold","Capitol Records Nashville"
967,"i Don't Wanna Go Home","Jason Derulo","1x Platinum","Warner Bros Records"
968,"John Cougar, John Deere, John 3:16","Keith Urban","1x Platinum","Capitol Records Nashville"
969,"Break on Me","Keith Urban","Gold","Capitol Records Nashville"
970,"Bad Blood","Taylor Swift","5x Multi-Platinum","Big Machine Records, Inc."
971,"One Hell of an Amen","Brantley Gilbert","1x Platinum","the Valory Music Co"
972,"Desde Esa Noche","Thalia","2x Multi-Platinum","Sony Latin"
973,"Water under the Bridge","Adele","Gold","Columbia"
974,"I'm not Okay (i Promise)","My Chemical Romance","1x Platinum","Reprise"
975,"Teenagers","My Chemical Romance","2x Multi-Platinum","Reprise"
976,"Studio","Schoolboy q","1x Platinum","Top Dawg Entertainment / Interscope"
977,"Alright","Kendrick Lamar","1x Platinum","Top Dawg Entertainment / Aftermath / Interscope Records"
978,"Check Yes, Juliet","We the Kings","1x Platinum","s-Curve Records"
979,"i Don't Dance","Lee Brice","2x Multi-Platinum","Curb Records"
980,"Love Me Now","John Legend","Gold","Columbia"
981,"Law Feat. e-40","Yo Gotti","Gold","Epic"
982,"Lights Come on","Jason Aldean","Gold","Broken Bow Records"
983,"Backroad Song","Granger Smith","Gold","Wheelhouse Records"
984,"i Don't Like It, i Love it","Flo Rida","1x Platinum","Atlantic Records"
985,"Heartbeat","Childish Gambino","1x Platinum","Glassnote Entertainment Group, Llc"
986,"Sex with Me","Rihanna","1x Platinum","Westbury Road Entertainment, Llc  /  Roc Nation, Llc"
987,"Hold Tight","Justin Bieber","Gold","Def Jam"
988,"As Long as you Love Me","Justin Bieber","4x Multi-Platinum","Def Jam"
989,"Ten Feet Tall","Afrojack","Gold","Def Jam"
990,"Can't Stop the Feeling!","Justin Timberlake","4x Multi-Platinum","Villa 40 / Rca Records"
991,"Failure","Breaking Benjamin","Gold","Hollywood Records"
992,"Doubt","Twenty One Pilots","Gold","Fueled by Ramen"
993,"Polarize","Twenty One Pilots","Gold","Fueled by Ramen"
994,"Like We Used to","a Rocket to the Moon","Gold","Fueled by Ramen"
995,"Girls Chase Boys","Ingrid Michaelson","1x Platinum","Cabin 24 Records / Mom+pop Music"
996,"The Greatest Feat. Kendrick Lamar","Sia","Gold","Monkey Puzzle Records / Rca Records"
997,"Ain't No Rest for the Wicked","Cage the Elephant","3x Multi-Platinum","Jive"
998,"I'd Rather be with you","Joshua Radin","Gold","Mom+pop Music"
999,"That's What i Love About Sunday","Craig Morgan","Gold","Broken Bow Records"
1000,"Fourfiveseconds","Rihanna","3x Multi-Platinum","Westbury Road Entertainment, Llc  /  Roc Nation, Llc"
1001,"Mr. Saxobeat","Alexandra Stan","1x Platinum","Ultra Records"
1002,"She's Got a Way with Words","Blake Shelton","Gold","Warner Bros"
1003,"Big Green Tractor","Jason Aldean","3x Multi-Platinum","Broken Bow"
1004,"No Sense","Justin Bieber","Gold","Def Jam"
1005,"International Harvester","Craig Morgan","Gold","Broken Bow Records"
1006,"The Boss ","Rick Ross","1x Platinum","Def Jam"
1007,"Kiss it Better","Rihanna","1x Platinum","Westbury Road Entertainment, Llc  /  Roc Nation, Llc"
1008,"Diamonds","Rihanna","6x Multi-Platinum","Def Jam"
1009,"We Belong Together","Mariah Carey","3x Multi-Platinum","Def Jam"
1010,"Kryptonite","3 Doors Down","4x Multi-Platinum","Republic Records"
1011,"Diamonds Dancing ","Drake","1x Platinum","Young Money / Cash Money / Republic Records"
1012,"i Got the Keys ","Dj Khaled","1x Platinum","We the Best / Epic"
1013,"Bow Chicka Wow Wow","Mike Posner","1x Platinum","Rca"
1014,"i Really Like you","Carly Rae Jepsen","1x Platinum","Schoolboy / Interscope"
1015,"Get Ugly","Jason Derulo","Gold","Warner Bros Records"
1016,"Like Jesus Does","Eric Church","1x Platinum","Emi Records Nashville"
1017,"Love your Love the Most","Eric Church","1x Platinum","Emi Records Nashville"
1018,"Creepin'","Eric Church","1x Platinum","Emi Records Nashville"
1019,"Talladega","Eric Church","1x Platinum","Emi Records Nashville"
1020,"Cold One","Eric Church","Gold","Emi Records Nashville"
1021,"Just Like Fire (from the Original Motion Picture ""Alice Through the Looking Glass"")","P!nk","1x Platinum","Rca Records / Walt Disney Records"
1022,"i Need your Love","Shaggy","Gold","Brooklyn Knights"
1023,"you Don't Own Me ","Grace","1x Platinum","Rca"
1024,"I'm the Man","50 Cent","Gold","g-Unit Records"
1025,"Uptown Funk Feat. Bruno Mars","Mark Ronson","11x Diamond","Rca Records"
1026,"Company","Justin Bieber","1x Platinum","Def Jam"
1027,"Watch Out","2 Chainz","1x Platinum","Def Jam"
1028,"Loveeeeeee Song","Rihanna","1x Platinum","Def Jam"
1029,"Came Here to Forget","Blake Shelton","Gold","Warner Bros"
1030,"Doin' What She Likes","Blake Shelton","1x Platinum","Warner Bros."
1031,"i See you","Luke Bryan","1x Platinum","Capitol Records Nashville"
1032,"Kiss My Country Ass","Blake Shelton","Gold","Warner Bros"
1033,"Ol' Red","Blake Shelton","1x Platinum","Warner Bros."
1034,"Roller Coaster","Luke Bryan","1x Platinum","Capitol Records Nashville"
1035,"Footloose","Blake Shelton","Gold","Warner Bros"
1036,"Call Me Maybe","Carly Rae Jepsen","10x Diamond","Schoolboy / Interscope"
1037,"Sorry","Beyonce","1x Platinum","Columbia"
1038,"Cool for the Summer","Demi Lovato","2x Multi-Platinum","Hollywood Records & Island Records"
1039,"Stone Cold","Demi Lovato","Gold","Hollywood Records & Island Records"
1040,"when We Were Young","Adele","1x Platinum","Columbia"
1041,"Wildest Dreams","Taylor Swift","3x Multi-Platinum","Big Machine Records, Inc."
1042,"Hello","Adele","7x Multi-Platinum","Columbia / Xl Recordings"
1043,"i Like the Sound of that","Rascal Flatts","Gold","Big Machine Records"
1044,"3005","Childish Gambino","1x Platinum","Glassnote Entertainment Group, Llc"
1045,"Come on Get Higher","Matt Nathanson","2x Multi-Platinum","Vanguard"
1046,"Make Her Say","Kid Cudi","1x Platinum","Republic Records"
1047,"Up Up & Away","Kid Cudi","1x Platinum","Republic Records"
1048,"Send My Love (to your New Lover)","Adele","1x Platinum","Columbia"
1049,"Waiting for Superman","Daughtry","1x Platinum","Rca Records"
1050,"Crooked Smile","j Cole","1x Platinum","Columbia"
1051,"Can't Get Enough","j Cole","1x Platinum","Columbia"
1052,"Call Me","Shinedown","Gold","Atlantic Records"
1053,"Post to be","Omarion","3x Multi-Platinum","Maybach Music Group / Atlantic Records"
1054,"Mercy","Kanye West","4x Multi-Platinum","Def Jam"
1055,"Girl Crush","Little Big Town","3x Multi-Platinum","Capitol Records Nashville"
1056,"No Pressure","Justin Bieber","Gold","Def Jam"
1057,"Fragile","Tech N9ne","Gold","Strange Music, Inc"
1058,"American Country Love Song","Jake Owen","Gold","Rca Nashville"
1059,"Fireball ","Pitbull","2x Multi-Platinum","Mr. 305 / Polo Grounds Music / Rca"
1060,"Somewhere on a Beach","Dierks Bentley","1x Platinum","Capitol Nashville"
1061,"Church Bells","Carrie Underwood","Gold","19 Recordings Limited / Arista Nashville"
1062,"House Party","Meek Mill","Gold","Maybach Music Group / Atlantic Records"
1063,"Remember you ","Wiz Khalifa","1x Platinum","Atlantic Records"
1064,"Mark My Words","Justin Bieber","Gold","Def Jam"
1065,"Bitch Better Have My Money","Rihanna","2x Multi-Platinum","Roc Nation"
1066,"Bottoms Up","Trey Songz","4x Multi-Platinum","Atlantic"
1067,"Love Faces","Trey Songz","Gold","Atlantic Records"
1068,"Neighbors Know My Name","Trey Songz","Gold","Atlantic Records"
1069,"Touchin, Lovin ","Trey Songz","Gold","Atlantic Records"
1070,"Lean on ","Major Lazer","4x Multi-Platinum","Mad Decent"
1071,"Drunk","Ed Sheeran","Gold","Atlantic Records"
1072,"Get your Freak on","Missy Elliott","1x Platinum","Elektra"
1073,"Sing","Ed Sheeran","2x Multi-Platinum","Atlantic Records"
1074,"Work it","Missy Elliott","1x Platinum","Elektra"
1075,"Let it Go","Demi Lovato","2x Multi-Platinum","Walt Disney Records"
1076,"Simple Man","Shinedown","1x Platinum","Atlantic Records"
1077,"Best Friend","Young Thug","1x Platinum","300 Entertainment / Atlantic Records"
1078,"Ass Drop","Wiz Khalifa","Gold","Atlantic Records"
1079,"We Dem Boyz","Wiz Khalifa","1x Platinum","Atlantic Records"
1080,"you and your Friends ","Wiz Khalifa","Gold","Atlantic Records"
1081,"Medicated ","Wiz Khalifa","Gold","Atlantic Records"
1082,"Colours","Grouplove","Gold","Canvasback / Atlantic"
1083,"Ways to Go","Grouplove","Gold","Canvasback / Atlantic"
1084,"Low","Flo Rida","3x Multi-Platinum","Atlantic"
1085,"If you Only Knew","Shinedown","1x Platinum","Atlantic Records"
1086,"Sound of Madness","Shinedown","1x Platinum","Atlantic Records"
1087,"45","Shinedown","1x Platinum","Atlantic Records"
1088,"The Crow & the Butterfly","Shinedown","Gold","Atlantic Records"
1089,"Bully","Shinedown","Gold","Atlantic Records"
1090,"Devour","Shinedown","Gold","Atlantic Records"
1091,"Diamond Eyes","Shinedown","Gold","Atlantic Records"
1092,"Save Me","Shinedown","Gold","Atlantic Records"
1093,"But It's Better if you Do","Panic! at the Disco","Gold","Fueled by Ramen"
1094,"Lying is the Most Fun a Girl can Have without Taking Her Clothes Off","Panic! at the Disco","1x Platinum","Fueled by Ramen"
1095,"Miss Jackson","Panic! at the Disco","1x Platinum","Fueled by Ramen"
1096,"Black & Yellow","Wiz Khalifa","6x Multi-Platinum","Atlantic Records"
1097,"Roll Up","Wiz Khalifa","2x Multi-Platinum","Atlantic Records"
1098,"The Fix ","Nelly","1x Platinum","Records"
1099,"Wet Dreamz","j Cole","1x Platinum","Columbia"
1100,"On My Level","Wiz Khalifa","1x Platinum","Atlantic Records"
1101,"Bad","Wale","2x Multi-Platinum","Atlantic Records"
1102,"Lotus Flower Bomb","Wale","1x Platinum","Atlantic Records"
1103,"Bust it Baby Part 2","Plies","1x Platinum","Big Gates / Slip n Slide / Atlantic Records"
1104,"Hypnotized ","Plies","1x Platinum","Big Gates / Slip n Slide / Atlantic Records"
1105,"Shawty","Plies","1x Platinum","Big Gates / Slip n Slide / Atlantic Records"
1106,"Becky","Plies","Gold","Big Gates / Slip n Slide / Atlantic Records"
1107,"Spotlight","Gucci Mane","Gold","Warner Bros. Records"
1108,"Another Round","Fat Joe","Gold","R4 so Valid / Terror Squad"
1109,"Slow Motion","Trey Songz","1x Platinum","Atlantic Records"
1110,"New Romantics","Taylor Swift","Gold","Big Machine Records"
1111,"No Role Modelz","j Cole","1x Platinum","Columbia"
1112,"Purpose","Justin Bieber","Gold","Def Jam"
1113,"The Feeling","Justin Bieber","Gold","Def Jam"
1114,"Out of the Woods","Taylor Swift","1x Platinum","Big Machine Records, Inc."
1115,"5 Star","Yo Gotti","Gold","Rca / Polo Grounds"
1116,"Stand by you","Rachel Platten","1x Platinum","Columbia"
1117,"Stoner","Young Thug","Gold","300 Entertainment / Atlantic Records"
1118,"Gettin' you Home","Chris Young","1x Platinum","Rca Nashville"
1119,"Who i Am with you","Chris Young","1x Platinum","Rca Records Label Nashville"
1120,"Hard in Da Paint","Waka Flocka Flame","Gold","Atlantic Records"
1121,"Heartbeat","Carrie Underwood","Gold","19 Recordings Limited / Arista Nashville"
1122,"you","Chris Young","1x Platinum","Rca Nashville"
1123,"Neon","Chris Young","Gold","Rca Records Label Nashville"
1124,"Smoke Break","Carrie Underwood","Gold","19 Recordings Limited / Arista Nashville"
1125,"Aw Naw","Chris Young","1x Platinum","Rca Records Label Nashville"
1126,"Hood Go Crazy","Tech N9ne","Gold","Strange Music, Inc"
1127,"Crushcrushcrush","Paramore","1x Platinum","Fueled by Ramen / Atlantic"
1128,"That's What you Get","Paramore","1x Platinum","Fueled by Ramen / Atlantic"
1129,"Ignorance","Paramore","Gold","Fueled by Ramen / Atlantic"
1130,"Irresistible","Fall Out Boy","1x Platinum","Island Records"
1131,"Watching Airplanes","Gary Allan","1x Platinum","Mca Nashville"
1132,"Monster","Paramore","Gold","Fueled by Ramen / Atlantic"
1133,"Pressure","Paramore","Gold","Fueled by Ramen / Atlantic"
1134,"Used to Love you","Gwen Stefani","Gold","Interscope"
1135,"Good to be Alive (Hallelujah)","Andy Grammer","Gold","s-Curve Records"
1136,"Paparazzi","Lady Gaga","4x Multi-Platinum","Streamline  /  Interscope"
1137,"Starstruck","Lady Gaga","Gold","Streamline  /  Interscope"
1138,"Telephone","Lady Gaga","3x Multi-Platinum","Streamline  /  Interscope"
1139,"Alejandro","Lady Gaga","2x Multi-Platinum","Streamline  /  Interscope"
1140,"The Edge of Glory","Lady Gaga","3x Multi-Platinum","Streamline  /  Interscope"
1141,"Beautiful, Dirty, Rich","Lady Gaga","Gold","Streamline  /  Interscope"
1142,"you and i","Lady Gaga","3x Multi-Platinum","Streamline  /  Interscope"
1143,"Born this Way","Lady Gaga","4x Multi-Platinum","Streamline  /  Interscope"
1144,"Eh, Eh (Nothing Else i can Say)","Lady Gaga","Gold","Streamline  /  Interscope"
1145,"Judas","Lady Gaga","2x Multi-Platinum","Streamline  /  Interscope"
1146,"Love Game","Lady Gaga","3x Multi-Platinum","Streamline  /  Interscope"
1147,"She's My Kind of Rain","Tim Mcgraw","Gold","Curb Records"
1148,"Felt Good on My Lips","Tim Mcgraw","1x Platinum","Curb Records"
1149,"i Drive your Truck","Lee Brice","1x Platinum","Curb Records"
1150,"If You're Going Through Hell","Rodney Atkins","1x Platinum","Curb Records"
1151,"Walking on a Dream","Empire of the Sun","1x Platinum","Astralwerks"
1152,"Booty","Jennifer Lopez","1x Platinum","Capitol Records"
1153,"Alive","Empire of the Sun","Gold","Astralwerks"
1154,"Immortals","Fall Out Boy","1x Platinum","Walt Disney Records"
1155,"She's Country","Jason Aldean","3x Multi-Platinum","Broken Bow"
1156,"How many Times ","Dj Khaled","Gold","We the Best Music Group"
1157,"Burnin' it Down","Jason Aldean","2x Multi-Platinum","Broken Bow"
1158,"Young Volcanoes","Fall Out Boy","Gold","Island Records"
1159,"Hicktown","Jason Aldean","1x Platinum","Broken Bow"
1160,"Sangria","Blake Shelton","1x Platinum","Warner Bros"
1161,"Brother","Needtobreathe","Gold","Atlantic Records"
1162,"you Found Me","The Fray","4x Multi-Platinum","Epic"
1163,"Just What i Am","Kid Cudi","1x Platinum","Republic Records"
1164,"Goodnight Kiss","Randy Houser","Gold","Stoney Creek Records"
